Simulation model,cloth
Finished FLAGS.mode,all
Train epochs,2
Epoch trajectories,2
Rollouts,1
Evaluation set,valid
Core model,encode_process_decode
Message passing aggregator,sum
Message passing steps,5
Attention used,False
Ripple used,False
Ripple generation method,
Ripple generation number,
Ripple node selection method,
Ripple node selection number,
Ripple node connection method,
Ripple node ncross number,
Elapsed time,0:03:37.170133
Train mean elapsed time,0:00:08
Mean train epoch loss,1138.7198486328125
Max train epoch loss,1308.03857421875
Min train epoch loss,969.4010620117188
Mean eval mse loss,43.348365783691406
Max eval mse loss,43.348365783691406
Min eval mse loss,43.348365783691406
Mean eval l1 loss,3.496385335922241
Max eval l1 loss,3.496385335922241
Min eval l1 loss,3.496385335922241
